seed,model,accuracy,precision,recall,f1,tpr,fpr,auroc,loss,best_epoch,validation_auroc,fusion_training_time_sec,test_fusion_time_sec,xgboost_training_time_sec,xgboost_test_time_sec
42,Softmax,0.6666666666666666,0.7,0.7,0.7,0.7,0.375,0.7625,0.6238684147664596,7,0.8625,8.564810276031494,0.07492518424987793,,
42,XGBoost,0.8333333333333334,0.8181818181818182,0.9,0.8571428571428571,0.9,0.25,0.7875000000000001,0.5486493788039952,7,0.8625,8.564810276031494,,0.15563368797302246,0.0008382797241210938
43,Softmax,0.5555555555555556,0.5555555555555556,1.0,0.7142857142857143,1.0,1.0,0.6875,0.7709624180786584,7,0.85,8.6833176612854,0.07545948028564453,,
43,XGBoost,0.8333333333333334,0.8181818181818182,0.9,0.8571428571428571,0.9,0.25,0.875,0.48478513122035083,7,0.85,8.6833176612854,,0.14833521842956543,0.0008170604705810547
44,Softmax,0.5,1.0,0.1,0.18181818181818182,0.1,0.0,0.8,0.9440714313766689,4,0.875,6.1612160205841064,0.07728242874145508,,
44,XGBoost,0.6666666666666666,0.7,0.7,0.7,0.7,0.375,0.7125,0.6391334718623244,4,0.875,6.1612160205841064,,0.24907946586608887,0.0011739730834960938
45,Softmax,0.5,0.6666666666666666,0.2,0.3076923076923077,0.2,0.125,0.75,0.6741491347771513,4,0.8250000000000001,6.214004278182983,0.07898902893066406,,
45,XGBoost,0.6666666666666666,0.75,0.6,0.6666666666666666,0.6,0.25,0.65,0.6997199017385111,4,0.8250000000000001,6.214004278182983,,0.15661835670471191,0.0008087158203125
46,Softmax,0.5,1.0,0.1,0.18181818181818182,0.1,0.0,0.825,0.8560249563827863,2,0.8875,4.410273551940918,0.07881951332092285,,
46,XGBoost,0.5555555555555556,0.75,0.3,0.42857142857142855,0.3,0.125,0.48750000000000004,0.7897561002030483,2,0.8875,4.410273551940918,,0.24687814712524414,0.0011837482452392578
