feature,mean_abs_shap,class,rank
AST_Fused_064,0.37458035,Control,1
Video_Swin_Fused_286,0.32083607,Control,2
AST_Fused_131,0.29840842,Control,3
AST_Fused_165,0.23682883,Control,4
Video_Swin_Fused_371,0.22790104,Control,5
Video_Swin_Fused_247,0.22227266,Control,6
Video_Swin_Fused_343,0.18894778,Control,7
AST_Fused_013,0.18229647,Control,8
AST_Fused_370,0.1754506,Control,9
AST_Fused_096,0.13672285,Control,10
Video_Swin_Fused_245,0.113948435,Control,11
Video_Swin_Fused_226,0.10745518,Control,12
AST_Fused_202,0.0831258,Control,13
Video_Swin_Fused_051,0.08236169,Control,14
Video_Swin_Fused_114,0.079632364,Control,15
AST_Fused_190,0.07675592,Control,16
Video_Swin_Fused_251,0.06673969,Control,17
AST_Fused_010,0.05838754,Control,18
Video_Swin_Fused_149,0.057495438,Control,19
Video_Swin_Fused_211,0.056314938,Control,20
AST_Fused_129,0.0,Control,21
AST_Fused_130,0.0,Control,22
AST_Fused_143,0.0,Control,23
AST_Fused_132,0.0,Control,24
AST_Fused_133,0.0,Control,25
AST_Fused_134,0.0,Control,26
AST_Fused_135,0.0,Control,27
AST_Fused_136,0.0,Control,28
AST_Fused_137,0.0,Control,29
AST_Fused_138,0.0,Control,30
AST_Fused_139,0.0,Control,31
AST_Fused_142,0.0,Control,32
AST_Fused_140,0.0,Control,33
AST_Fused_141,0.0,Control,34
AST_Fused_128,0.0,Control,35
AST_Fused_106,0.0,Control,36
AST_Fused_107,0.0,Control,37
AST_Fused_108,0.0,Control,38
AST_Fused_109,0.0,Control,39
AST_Fused_110,0.0,Control,40
AST_Fused_111,0.0,Control,41
AST_Fused_112,0.0,Control,42
AST_Fused_113,0.0,Control,43
AST_Fused_114,0.0,Control,44
AST_Fused_115,0.0,Control,45
AST_Fused_124,0.0,Control,46
AST_Fused_117,0.0,Control,47
AST_Fused_118,0.0,Control,48
AST_Fused_119,0.0,Control,49
AST_Fused_120,0.0,Control,50
AST_Fused_121,0.0,Control,51
AST_Fused_122,0.0,Control,52
AST_Fused_123,0.0,Control,53
AST_Fused_125,0.0,Control,54
AST_Fused_126,0.0,Control,55
AST_Fused_127,0.0,Control,56
AST_Fused_116,0.0,Control,57
AST_Fused_168,0.0,Control,58
AST_Fused_169,0.0,Control,59
AST_Fused_170,0.0,Control,60
AST_Fused_171,0.0,Control,61
AST_Fused_172,0.0,Control,62
AST_Fused_173,0.0,Control,63
AST_Fused_174,0.0,Control,64
AST_Fused_175,0.0,Control,65
AST_Fused_176,0.0,Control,66
AST_Fused_177,0.0,Control,67
AST_Fused_147,0.0,Control,68
AST_Fused_179,0.0,Control,69
AST_Fused_180,0.0,Control,70
AST_Fused_181,0.0,Control,71
AST_Fused_182,0.0,Control,72
AST_Fused_183,0.0,Control,73
AST_Fused_184,0.0,Control,74
AST_Fused_185,0.0,Control,75
AST_Fused_186,0.0,Control,76
AST_Fused_187,0.0,Control,77
AST_Fused_188,0.0,Control,78
AST_Fused_189,0.0,Control,79
AST_Fused_178,0.0,Control,80
AST_Fused_144,0.0,Control,81
AST_Fused_145,0.0,Control,82
AST_Fused_146,0.0,Control,83
AST_Fused_105,0.0,Control,84
AST_Fused_148,0.0,Control,85
AST_Fused_149,0.0,Control,86
AST_Fused_150,0.0,Control,87
AST_Fused_151,0.0,Control,88
AST_Fused_152,0.0,Control,89
AST_Fused_153,0.0,Control,90
AST_Fused_167,0.0,Control,91
AST_Fused_155,0.0,Control,92
AST_Fused_156,0.0,Control,93
AST_Fused_157,0.0,Control,94
AST_Fused_158,0.0,Control,95
AST_Fused_159,0.0,Control,96
AST_Fused_160,0.0,Control,97
AST_Fused_161,0.0,Control,98
AST_Fused_162,0.0,Control,99
AST_Fused_163,0.0,Control,100
AST_Fused_164,0.0,Control,101
AST_Fused_166,0.0,Control,102
AST_Fused_154,0.0,Control,103
AST_Fused_033,0.0,Control,104
AST_Fused_034,0.0,Control,105
AST_Fused_035,0.0,Control,106
AST_Fused_036,0.0,Control,107
AST_Fused_037,0.0,Control,108
AST_Fused_038,0.0,Control,109
AST_Fused_039,0.0,Control,110
AST_Fused_040,0.0,Control,111
AST_Fused_041,0.0,Control,112
AST_Fused_042,0.0,Control,113
AST_Fused_101,0.0,Control,114
AST_Fused_044,0.0,Control,115
AST_Fused_045,0.0,Control,116
AST_Fused_046,0.0,Control,117
AST_Fused_047,0.0,Control,118
AST_Fused_048,0.0,Control,119
AST_Fused_049,0.0,Control,120
AST_Fused_050,0.0,Control,121
AST_Fused_051,0.0,Control,122
AST_Fused_052,0.0,Control,123
AST_Fused_053,0.0,Control,124
AST_Fused_054,0.0,Control,125
AST_Fused_043,0.0,Control,126
AST_Fused_007,0.0,Control,127
AST_Fused_008,0.0,Control,128
AST_Fused_009,0.0,Control,129
AST_Fused_011,0.0,Control,130
AST_Fused_012,0.0,Control,131
AST_Fused_014,0.0,Control,132
AST_Fused_015,0.0,Control,133
AST_Fused_016,0.0,Control,134
AST_Fused_017,0.0,Control,135
AST_Fused_018,0.0,Control,136
AST_Fused_019,0.0,Control,137
AST_Fused_032,0.0,Control,138
AST_Fused_021,0.0,Control,139
AST_Fused_022,0.0,Control,140
AST_Fused_023,0.0,Control,141
AST_Fused_024,0.0,Control,142
AST_Fused_025,0.0,Control,143
AST_Fused_026,0.0,Control,144
AST_Fused_027,0.0,Control,145
AST_Fused_028,0.0,Control,146
AST_Fused_029,0.0,Control,147
AST_Fused_030,0.0,Control,148
AST_Fused_031,0.0,Control,149
AST_Fused_020,0.0,Control,150
AST_Fused_081,0.0,Control,151
AST_Fused_082,0.0,Control,152
AST_Fused_083,0.0,Control,153
AST_Fused_084,0.0,Control,154
AST_Fused_085,0.0,Control,155
AST_Fused_086,0.0,Control,156
AST_Fused_087,0.0,Control,157
AST_Fused_088,0.0,Control,158
AST_Fused_089,0.0,Control,159
AST_Fused_090,0.0,Control,160
AST_Fused_055,0.0,Control,161
AST_Fused_092,0.0,Control,162
AST_Fused_093,0.0,Control,163
AST_Fused_094,0.0,Control,164
AST_Fused_095,0.0,Control,165
AST_Fused_097,0.0,Control,166
AST_Fused_098,0.0,Control,167
AST_Fused_099,0.0,Control,168
AST_Fused_100,0.0,Control,169
AST_Fused_102,0.0,Control,170
AST_Fused_103,0.0,Control,171
AST_Fused_104,0.0,Control,172
AST_Fused_091,0.0,Control,173
AST_Fused_056,0.0,Control,174
AST_Fused_057,0.0,Control,175
AST_Fused_058,0.0,Control,176
AST_Fused_059,0.0,Control,177
AST_Fused_060,0.0,Control,178
AST_Fused_061,0.0,Control,179
AST_Fused_062,0.0,Control,180
AST_Fused_063,0.0,Control,181
AST_Fused_065,0.0,Control,182
AST_Fused_066,0.0,Control,183
AST_Fused_067,0.0,Control,184
AST_Fused_080,0.0,Control,185
AST_Fused_069,0.0,Control,186
AST_Fused_070,0.0,Control,187
AST_Fused_071,0.0,Control,188
AST_Fused_072,0.0,Control,189
AST_Fused_073,0.0,Control,190
AST_Fused_074,0.0,Control,191
AST_Fused_075,0.0,Control,192
AST_Fused_076,0.0,Control,193
AST_Fused_077,0.0,Control,194
AST_Fused_078,0.0,Control,195
AST_Fused_079,0.0,Control,196
AST_Fused_068,0.0,Control,197
AST_Fused_312,0.0,Control,198
AST_Fused_313,0.0,Control,199
AST_Fused_314,0.0,Control,200
AST_Fused_315,0.0,Control,201
AST_Fused_316,0.0,Control,202
AST_Fused_317,0.0,Control,203
AST_Fused_318,0.0,Control,204
AST_Fused_319,0.0,Control,205
AST_Fused_320,0.0,Control,206
AST_Fused_321,0.0,Control,207
AST_Fused_322,0.0,Control,208
AST_Fused_192,0.0,Control,209
AST_Fused_324,0.0,Control,210
AST_Fused_325,0.0,Control,211
AST_Fused_326,0.0,Control,212
AST_Fused_327,0.0,Control,213
AST_Fused_328,0.0,Control,214
AST_Fused_329,0.0,Control,215
AST_Fused_330,0.0,Control,216
AST_Fused_331,0.0,Control,217
AST_Fused_332,0.0,Control,218
AST_Fused_333,0.0,Control,219
AST_Fused_334,0.0,Control,220
AST_Fused_323,0.0,Control,221
AST_Fused_288,0.0,Control,222
AST_Fused_289,0.0,Control,223
AST_Fused_290,0.0,Control,224
AST_Fused_291,0.0,Control,225
AST_Fused_292,0.0,Control,226
AST_Fused_293,0.0,Control,227
AST_Fused_294,0.0,Control,228
AST_Fused_295,0.0,Control,229
AST_Fused_296,0.0,Control,230
AST_Fused_297,0.0,Control,231
AST_Fused_298,0.0,Control,232
AST_Fused_311,0.0,Control,233
AST_Fused_300,0.0,Control,234
AST_Fused_301,0.0,Control,235
AST_Fused_302,0.0,Control,236
AST_Fused_303,0.0,Control,237
AST_Fused_304,0.0,Control,238
AST_Fused_305,0.0,Control,239
AST_Fused_306,0.0,Control,240
AST_Fused_307,0.0,Control,241
AST_Fused_308,0.0,Control,242
AST_Fused_309,0.0,Control,243
AST_Fused_310,0.0,Control,244
AST_Fused_299,0.0,Control,245
AST_Fused_360,0.0,Control,246
AST_Fused_361,0.0,Control,247
AST_Fused_362,0.0,Control,248
AST_Fused_363,0.0,Control,249
AST_Fused_364,0.0,Control,250
AST_Fused_365,0.0,Control,251
AST_Fused_366,0.0,Control,252
AST_Fused_367,0.0,Control,253
AST_Fused_368,0.0,Control,254
AST_Fused_369,0.0,Control,255
AST_Fused_371,0.0,Control,256
AST_Fused_335,0.0,Control,257
AST_Fused_373,0.0,Control,258
AST_Fused_374,0.0,Control,259
AST_Fused_375,0.0,Control,260
AST_Fused_376,0.0,Control,261
AST_Fused_377,0.0,Control,262
AST_Fused_378,0.0,Control,263
AST_Fused_379,0.0,Control,264
AST_Fused_380,0.0,Control,265
AST_Fused_381,0.0,Control,266
AST_Fused_382,0.0,Control,267
AST_Fused_383,0.0,Control,268
AST_Fused_372,0.0,Control,269
AST_Fused_336,0.0,Control,270
AST_Fused_337,0.0,Control,271
AST_Fused_338,0.0,Control,272
AST_Fused_339,0.0,Control,273
AST_Fused_340,0.0,Control,274
AST_Fused_341,0.0,Control,275
AST_Fused_342,0.0,Control,276
AST_Fused_343,0.0,Control,277
AST_Fused_344,0.0,Control,278
AST_Fused_345,0.0,Control,279
AST_Fused_346,0.0,Control,280
AST_Fused_359,0.0,Control,281
AST_Fused_348,0.0,Control,282
AST_Fused_349,0.0,Control,283
AST_Fused_350,0.0,Control,284
AST_Fused_351,0.0,Control,285
AST_Fused_352,0.0,Control,286
AST_Fused_353,0.0,Control,287
AST_Fused_354,0.0,Control,288
AST_Fused_355,0.0,Control,289
AST_Fused_356,0.0,Control,290
AST_Fused_357,0.0,Control,291
AST_Fused_358,0.0,Control,292
AST_Fused_347,0.0,Control,293
AST_Fused_216,0.0,Control,294
AST_Fused_217,0.0,Control,295
AST_Fused_218,0.0,Control,296
AST_Fused_219,0.0,Control,297
AST_Fused_220,0.0,Control,298
AST_Fused_221,0.0,Control,299
AST_Fused_222,0.0,Control,300
AST_Fused_223,0.0,Control,301
AST_Fused_224,0.0,Control,302
AST_Fused_225,0.0,Control,303
AST_Fused_226,0.0,Control,304
AST_Fused_287,0.0,Control,305
AST_Fused_228,0.0,Control,306
AST_Fused_229,0.0,Control,307
AST_Fused_230,0.0,Control,308
AST_Fused_231,0.0,Control,309
AST_Fused_232,0.0,Control,310
AST_Fused_233,0.0,Control,311
AST_Fused_234,0.0,Control,312
AST_Fused_235,0.0,Control,313
AST_Fused_236,0.0,Control,314
AST_Fused_237,0.0,Control,315
AST_Fused_238,0.0,Control,316
AST_Fused_227,0.0,Control,317
AST_Fused_191,0.0,Control,318
AST_Fused_006,0.0,Control,319
AST_Fused_193,0.0,Control,320
AST_Fused_194,0.0,Control,321
AST_Fused_195,0.0,Control,322
AST_Fused_196,0.0,Control,323
AST_Fused_197,0.0,Control,324
AST_Fused_198,0.0,Control,325
AST_Fused_199,0.0,Control,326
AST_Fused_200,0.0,Control,327
AST_Fused_201,0.0,Control,328
AST_Fused_215,0.0,Control,329
AST_Fused_204,0.0,Control,330
AST_Fused_205,0.0,Control,331
AST_Fused_206,0.0,Control,332
AST_Fused_207,0.0,Control,333
AST_Fused_208,0.0,Control,334
AST_Fused_209,0.0,Control,335
AST_Fused_210,0.0,Control,336
AST_Fused_211,0.0,Control,337
AST_Fused_212,0.0,Control,338
AST_Fused_213,0.0,Control,339
AST_Fused_214,0.0,Control,340
AST_Fused_203,0.0,Control,341
AST_Fused_264,0.0,Control,342
AST_Fused_265,0.0,Control,343
AST_Fused_266,0.0,Control,344
AST_Fused_267,0.0,Control,345
AST_Fused_268,0.0,Control,346
AST_Fused_269,0.0,Control,347
AST_Fused_270,0.0,Control,348
AST_Fused_271,0.0,Control,349
AST_Fused_272,0.0,Control,350
AST_Fused_273,0.0,Control,351
AST_Fused_274,0.0,Control,352
AST_Fused_239,0.0,Control,353
AST_Fused_276,0.0,Control,354
AST_Fused_277,0.0,Control,355
AST_Fused_278,0.0,Control,356
AST_Fused_279,0.0,Control,357
AST_Fused_280,0.0,Control,358
AST_Fused_281,0.0,Control,359
AST_Fused_282,0.0,Control,360
AST_Fused_283,0.0,Control,361
AST_Fused_284,0.0,Control,362
AST_Fused_285,0.0,Control,363
AST_Fused_286,0.0,Control,364
AST_Fused_275,0.0,Control,365
AST_Fused_240,0.0,Control,366
AST_Fused_241,0.0,Control,367
AST_Fused_242,0.0,Control,368
AST_Fused_243,0.0,Control,369
AST_Fused_244,0.0,Control,370
AST_Fused_245,0.0,Control,371
AST_Fused_246,0.0,Control,372
AST_Fused_247,0.0,Control,373
AST_Fused_248,0.0,Control,374
AST_Fused_249,0.0,Control,375
AST_Fused_250,0.0,Control,376
AST_Fused_263,0.0,Control,377
AST_Fused_252,0.0,Control,378
AST_Fused_253,0.0,Control,379
AST_Fused_254,0.0,Control,380
AST_Fused_255,0.0,Control,381
AST_Fused_256,0.0,Control,382
AST_Fused_257,0.0,Control,383
AST_Fused_258,0.0,Control,384
