feature,mean_abs_shap,class,rank
AST_Fused_064,0.37458035,Parkinsons,1
Video_Swin_Fused_286,0.32105094,Parkinsons,2
AST_Fused_131,0.30306244,Parkinsons,3
Video_Swin_Fused_371,0.29988474,Parkinsons,4
AST_Fused_165,0.2652862,Parkinsons,5
Video_Swin_Fused_247,0.21447511,Parkinsons,6
AST_Fused_370,0.181496,Parkinsons,7
Video_Swin_Fused_343,0.17226481,Parkinsons,8
AST_Fused_013,0.17027673,Parkinsons,9
Video_Swin_Fused_245,0.13422458,Parkinsons,10
AST_Fused_096,0.13110289,Parkinsons,11
Video_Swin_Fused_226,0.10876633,Parkinsons,12
Video_Swin_Fused_051,0.10353017,Parkinsons,13
AST_Fused_202,0.08312581,Parkinsons,14
Video_Swin_Fused_114,0.07711382,Parkinsons,15
AST_Fused_190,0.076755926,Parkinsons,16
Video_Swin_Fused_251,0.06666673,Parkinsons,17
AST_Fused_010,0.058300197,Parkinsons,18
Video_Swin_Fused_149,0.057343625,Parkinsons,19
Video_Swin_Fused_211,0.056314938,Parkinsons,20
AST_Fused_129,0.0,Parkinsons,21
AST_Fused_130,0.0,Parkinsons,22
AST_Fused_143,0.0,Parkinsons,23
AST_Fused_132,0.0,Parkinsons,24
AST_Fused_133,0.0,Parkinsons,25
AST_Fused_134,0.0,Parkinsons,26
AST_Fused_135,0.0,Parkinsons,27
AST_Fused_136,0.0,Parkinsons,28
AST_Fused_137,0.0,Parkinsons,29
AST_Fused_138,0.0,Parkinsons,30
AST_Fused_139,0.0,Parkinsons,31
AST_Fused_142,0.0,Parkinsons,32
AST_Fused_140,0.0,Parkinsons,33
AST_Fused_141,0.0,Parkinsons,34
AST_Fused_128,0.0,Parkinsons,35
AST_Fused_106,0.0,Parkinsons,36
AST_Fused_107,0.0,Parkinsons,37
AST_Fused_108,0.0,Parkinsons,38
AST_Fused_109,0.0,Parkinsons,39
AST_Fused_110,0.0,Parkinsons,40
AST_Fused_111,0.0,Parkinsons,41
AST_Fused_112,0.0,Parkinsons,42
AST_Fused_113,0.0,Parkinsons,43
AST_Fused_114,0.0,Parkinsons,44
AST_Fused_115,0.0,Parkinsons,45
AST_Fused_124,0.0,Parkinsons,46
AST_Fused_117,0.0,Parkinsons,47
AST_Fused_118,0.0,Parkinsons,48
