feature,mean_abs_shap,mean_shap
AST_Fused_064,0.3645711,0.3645711
Video_Swin_Fused_286,0.32076445,0.25609586
AST_Fused_131,0.29861295,0.057833225
AST_Fused_165,0.2698627,0.15741196
Video_Swin_Fused_371,0.26458973,-0.22175574
Video_Swin_Fused_343,0.26124063,-0.22901206
Video_Swin_Fused_247,0.20779152,0.16222306
AST_Fused_370,0.18840505,-0.18840505
Video_Swin_Fused_245,0.1477914,0.1477914
AST_Fused_096,0.14073707,0.14073707
Video_Swin_Fused_226,0.12712254,0.12712254
AST_Fused_013,0.11691896,0.11691896
AST_Fused_202,0.08312581,0.08312581
Video_Swin_Fused_051,0.08236169,0.08236169
AST_Fused_190,0.07602599,-0.062134665
Video_Swin_Fused_114,0.0754348,0.0754348
Video_Swin_Fused_251,0.06870952,-0.042159557
AST_Fused_010,0.058458995,0.011844242
Video_Swin_Fused_211,0.05628463,-0.05628463
Video_Swin_Fused_149,0.055977345,-0.055977345
AST_Fused_129,0.0,0.0
AST_Fused_130,0.0,0.0
AST_Fused_143,0.0,0.0
AST_Fused_132,0.0,0.0
AST_Fused_133,0.0,0.0
AST_Fused_134,0.0,0.0
AST_Fused_135,0.0,0.0
AST_Fused_136,0.0,0.0
AST_Fused_137,0.0,0.0
AST_Fused_138,0.0,0.0
AST_Fused_139,0.0,0.0
AST_Fused_140,0.0,0.0
AST_Fused_142,0.0,0.0
AST_Fused_141,0.0,0.0
AST_Fused_128,0.0,0.0
AST_Fused_106,0.0,0.0
AST_Fused_107,0.0,0.0
AST_Fused_108,0.0,0.0
AST_Fused_109,0.0,0.0
AST_Fused_110,0.0,0.0
AST_Fused_111,0.0,0.0
AST_Fused_112,0.0,0.0
AST_Fused_113,0.0,0.0
AST_Fused_114,0.0,0.0
AST_Fused_115,0.0,0.0
AST_Fused_124,0.0,0.0
AST_Fused_117,0.0,0.0
AST_Fused_118,0.0,0.0
AST_Fused_119,0.0,0.0
AST_Fused_120,0.0,0.0
AST_Fused_121,0.0,0.0
AST_Fused_122,0.0,0.0
AST_Fused_123,0.0,0.0
AST_Fused_125,0.0,0.0
AST_Fused_126,0.0,0.0
AST_Fused_127,0.0,0.0
AST_Fused_116,0.0,0.0
AST_Fused_168,0.0,0.0
AST_Fused_169,0.0,0.0
AST_Fused_170,0.0,0.0
AST_Fused_171,0.0,0.0
AST_Fused_172,0.0,0.0
AST_Fused_173,0.0,0.0
AST_Fused_174,0.0,0.0
AST_Fused_175,0.0,0.0
AST_Fused_176,0.0,0.0
AST_Fused_177,0.0,0.0
AST_Fused_147,0.0,0.0
AST_Fused_179,0.0,0.0
AST_Fused_180,0.0,0.0
AST_Fused_181,0.0,0.0
AST_Fused_182,0.0,0.0
AST_Fused_183,0.0,0.0
AST_Fused_184,0.0,0.0
AST_Fused_185,0.0,0.0
AST_Fused_186,0.0,0.0
AST_Fused_187,0.0,0.0
AST_Fused_188,0.0,0.0
AST_Fused_189,0.0,0.0
AST_Fused_178,0.0,0.0
AST_Fused_144,0.0,0.0
AST_Fused_145,0.0,0.0
AST_Fused_146,0.0,0.0
AST_Fused_105,0.0,0.0
AST_Fused_148,0.0,0.0
AST_Fused_149,0.0,0.0
AST_Fused_150,0.0,0.0
AST_Fused_151,0.0,0.0
AST_Fused_152,0.0,0.0
AST_Fused_153,0.0,0.0
AST_Fused_167,0.0,0.0
AST_Fused_155,0.0,0.0
AST_Fused_156,0.0,0.0
AST_Fused_157,0.0,0.0
AST_Fused_158,0.0,0.0
AST_Fused_159,0.0,0.0
AST_Fused_160,0.0,0.0
AST_Fused_161,0.0,0.0
AST_Fused_162,0.0,0.0
AST_Fused_163,0.0,0.0
AST_Fused_164,0.0,0.0
AST_Fused_166,0.0,0.0
AST_Fused_154,0.0,0.0
AST_Fused_033,0.0,0.0
AST_Fused_034,0.0,0.0
AST_Fused_035,0.0,0.0
AST_Fused_036,0.0,0.0
