feature,mean_abs_shap,mean_signed_shap,rank
Video_Swin_Fused_286,0.32095543,0.21317448,2
Video_Swin_Fused_371,0.26789197,0.11803511,4
Video_Swin_Fused_247,0.21794067,-0.03521745,6
Video_Swin_Fused_343,0.17967947,0.08889193,7
Video_Swin_Fused_245,0.12521297,-0.0064205304,11
Video_Swin_Fused_226,0.10818358,-0.037559964,12
Video_Swin_Fused_051,0.09412196,0.015693627,13
Video_Swin_Fused_114,0.078233175,0.04749149,15
Video_Swin_Fused_251,0.066699155,0.05130067,17
Video_Swin_Fused_149,0.05741109,0.051191382,19
Video_Swin_Fused_211,0.056314938,0.056314938,20
Video_Swin_Fused_122,0.0,0.0,390
Video_Swin_Fused_123,0.0,0.0,391
Video_Swin_Fused_124,0.0,0.0,392
Video_Swin_Fused_125,0.0,0.0,393
Video_Swin_Fused_126,0.0,0.0,394
Video_Swin_Fused_127,0.0,0.0,395
Video_Swin_Fused_128,0.0,0.0,396
Video_Swin_Fused_129,0.0,0.0,397
Video_Swin_Fused_130,0.0,0.0,398
Video_Swin_Fused_131,0.0,0.0,399
Video_Swin_Fused_384,0.0,0.0,400
Video_Swin_Fused_133,0.0,0.0,401
Video_Swin_Fused_134,0.0,0.0,402
Video_Swin_Fused_135,0.0,0.0,403
Video_Swin_Fused_136,0.0,0.0,404
Video_Swin_Fused_137,0.0,0.0,405
Video_Swin_Fused_138,0.0,0.0,406
Video_Swin_Fused_139,0.0,0.0,407
Video_Swin_Fused_140,0.0,0.0,408
Video_Swin_Fused_141,0.0,0.0,409
Video_Swin_Fused_142,0.0,0.0,410
Video_Swin_Fused_143,0.0,0.0,411
Video_Swin_Fused_132,0.0,0.0,412
Video_Swin_Fused_097,0.0,0.0,413
Video_Swin_Fused_098,0.0,0.0,414
Video_Swin_Fused_099,0.0,0.0,415
Video_Swin_Fused_100,0.0,0.0,416
Video_Swin_Fused_101,0.0,0.0,417
Video_Swin_Fused_102,0.0,0.0,418
Video_Swin_Fused_103,0.0,0.0,419
Video_Swin_Fused_104,0.0,0.0,420
Video_Swin_Fused_105,0.0,0.0,421
Video_Swin_Fused_106,0.0,0.0,422
Video_Swin_Fused_107,0.0,0.0,423
Video_Swin_Fused_121,0.0,0.0,424
Video_Swin_Fused_109,0.0,0.0,425
Video_Swin_Fused_110,0.0,0.0,426
Video_Swin_Fused_111,0.0,0.0,427
Video_Swin_Fused_112,0.0,0.0,428
Video_Swin_Fused_113,0.0,0.0,429
Video_Swin_Fused_115,0.0,0.0,430
Video_Swin_Fused_116,0.0,0.0,431
Video_Swin_Fused_117,0.0,0.0,432
Video_Swin_Fused_118,0.0,0.0,433
Video_Swin_Fused_119,0.0,0.0,434
Video_Swin_Fused_120,0.0,0.0,435
Video_Swin_Fused_108,0.0,0.0,436
Video_Swin_Fused_170,0.0,0.0,437
