sample_name,sample_index,true_label,video_abs_shap,audio_abs_shap,video_percentage,audio_percentage
Sample_00,0,1,0.0042938893,0.004249348,50.26068,49.739315
Sample_01,1,1,0.0042319526,0.004237195,49.96905,50.030952
Sample_02,2,0,0.0036945103,0.0038764828,48.798225,51.201775
Sample_03,3,0,0.0042056926,0.0043165046,49.34986,50.65014
Sample_04,4,1,0.0043070703,0.004327157,49.88368,50.116318
Sample_05,5,1,0.0038614597,0.0040220367,48.981564,51.018436
Sample_06,6,1,0.004231181,0.0043816944,49.126232,50.873775
Sample_07,7,1,0.003939649,0.0044056387,47.20807,52.791935
Sample_08,8,0,0.0041400753,0.004368972,48.65498,51.34502
Sample_09,9,0,0.0042193835,0.0036836835,53.389187,46.610806
Sample_10,10,0,0.0038499366,0.0043638237,46.87179,53.12821
Sample_11,11,1,0.004208365,0.0043638237,49.093235,50.90676
Sample_12,12,0,0.0035824962,0.004406466,44.84307,55.15693
Sample_13,13,1,0.0041973214,0.0041742907,50.13755,49.862446
Sample_14,14,1,0.004238642,0.0043638237,49.272408,50.727592
Sample_15,15,0,0.0039158557,0.004471656,46.686737,53.313263
Sample_16,16,0,0.0041400753,0.004315677,48.961643,51.038353
Sample_17,17,1,0.0044601536,0.004287141,50.98895,49.011047
