feature,mean_abs_shap,mean_signed_shap,rank
AST_Fused_064,0.37458035,-0.37458035,1
Video_Swin_Fused_286,0.32095543,0.21317448,2
AST_Fused_131,0.30099398,-0.066863924,3
Video_Swin_Fused_371,0.26789197,0.11803511,4
AST_Fused_165,0.2526385,-0.15572643,5
Video_Swin_Fused_247,0.21794067,-0.03521745,6
Video_Swin_Fused_343,0.17967947,0.08889193,7
AST_Fused_370,0.17880914,-0.093331486,8
AST_Fused_013,0.17561883,-0.16444516,9
AST_Fused_096,0.13360064,0.0227739,10
Video_Swin_Fused_245,0.12521297,-0.0064205304,11
Video_Swin_Fused_226,0.10818358,-0.037559964,12
Video_Swin_Fused_051,0.09412196,0.015693627,13
AST_Fused_202,0.083125815,0.083125815,14
Video_Swin_Fused_114,0.078233175,0.04749149,15
AST_Fused_190,0.07675591,-0.07675591,16
Video_Swin_Fused_251,0.066699155,0.05130067,17
AST_Fused_010,0.058339007,-0.032300778,18
Video_Swin_Fused_149,0.05741109,0.051191382,19
Video_Swin_Fused_211,0.056314938,0.056314938,20
