feature,mean_positive_shap,mean_negative_shap,mean_signed_shap,mean_absolute_shap
Video_Swin_Fused_286,0.26706493,-0.053890485,0.21317448,0.32095543
Video_Swin_Fused_371,0.19296354,-0.07492843,0.11803511,0.26789197
Video_Swin_Fused_343,0.1342857,-0.045393765,0.08889193,0.17967947
AST_Fused_131,0.117065035,-0.18392894,-0.066863924,0.30099398
Video_Swin_Fused_247,0.09136162,-0.12657908,-0.03521745,0.21794067
AST_Fused_202,0.083125815,0.0,0.083125815,0.083125815
AST_Fused_096,0.07818726,-0.055413377,0.0227739,0.13360064
Video_Swin_Fused_114,0.06286233,-0.015370842,0.04749149,0.078233175
Video_Swin_Fused_245,0.059396215,-0.065816745,-0.0064205304,0.12521297
Video_Swin_Fused_251,0.058999915,-0.007699242,0.05130067,0.066699155
Video_Swin_Fused_211,0.056314938,0.0,0.056314938,0.056314938
Video_Swin_Fused_051,0.054907795,-0.03921416,0.015693627,0.09412196
Video_Swin_Fused_149,0.054301236,-0.0031098526,0.051191382,0.05741109
AST_Fused_165,0.04845603,-0.20418245,-0.15572643,0.2526385
AST_Fused_370,0.042738833,-0.13607031,-0.093331486,0.17880914
Video_Swin_Fused_226,0.035311814,-0.072871774,-0.037559964,0.10818358
AST_Fused_010,0.013019118,-0.045319892,-0.032300778,0.058339007
AST_Fused_013,0.005586838,-0.170032,-0.16444516,0.17561883
Video_Swin_Fused_024,0.0,0.0,0.0,0.0
Video_Swin_Fused_010,0.0,0.0,0.0,0.0
