sample_index,temporal_index,height_index,width_index,importance
0,0,0,0,0.44001829624176025
0,0,0,1,0.31716787815093994
0,0,0,2,0.6096166372299194
0,0,0,3,0.34675759077072144
0,0,0,4,0.6586310863494873
0,0,0,5,0.3964139223098755
0,0,0,6,0.44678932428359985
0,0,0,7,0.9393509030342102
0,0,0,8,0.9441563487052917
0,0,0,9,0.9310693740844727
0,0,0,10,0.9106392860412598
0,0,0,11,0.9254663586616516
0,0,0,12,0.9910691380500793
0,0,0,13,0.37642911076545715
0,0,1,0,0.9449973702430725
0,0,1,1,0.8729243874549866
0,0,1,2,0.9222714304924011
0,0,1,3,0.9141173362731934
0,0,1,4,0.7496076822280884
0,0,1,5,0.880524218082428
0,0,1,6,0.4401155710220337
0,0,1,7,0.37334585189819336
0,0,1,8,0.8622907400131226
0,0,1,9,0.8871921896934509
0,0,1,10,0.9319061636924744
0,0,1,11,0.7478506565093994
0,0,1,12,0.6018372178077698
0,0,1,13,0.9004831314086914
0,0,2,0,0.3820819556713104
0,0,2,1,0.8744204044342041
0,0,2,2,0.8262410163879395
0,0,2,3,0.8860683441162109
0,0,2,4,0.8682695627212524
0,0,2,5,0.3339366316795349
0,0,2,6,0.7190314531326294
0,0,2,7,0.44493064284324646
0,0,2,8,0.6428227424621582
0,0,2,9,0.6202629804611206
0,0,2,10,0.7810574769973755
0,0,2,11,0.7914321422576904
0,0,2,12,0.3846270442008972
0,0,2,13,0.32768377661705017
0,0,3,0,0.5370425581932068
0,0,3,1,0.893358051776886
0,0,3,2,0.8804457187652588
0,0,3,3,0.3305147886276245
0,0,3,4,0.8765398859977722
0,0,3,5,0.8215863108634949
0,0,3,6,0.33554714918136597
0,0,3,7,0.44115447998046875
0,0,3,8,0.3361639976501465
0,0,3,9,0.46996158361434937
0,0,3,10,0.34694087505340576
0,0,3,11,0.5320346355438232
0,0,3,12,0.3964966833591461
0,0,3,13,0.4472822844982147
0,0,4,0,0.9381136894226074
0,0,4,1,0.9261900186538696
0,0,4,2,0.9250165224075317
0,0,4,3,0.9074341058731079
0,0,4,4,0.6456430554389954
0,0,4,5,0.9947332739830017
0,0,4,6,0.3749462962150574
0,0,4,7,0.938136637210846
0,0,4,8,0.8702807426452637
0,0,4,9,0.9157288074493408
0,0,4,10,0.9179175496101379
0,0,4,11,0.5383696556091309
0,0,4,12,0.8925212621688843
0,0,4,13,0.41824769973754883
0,0,5,0,0.4171679615974426
0,0,5,1,0.8738305568695068
0,0,5,2,0.8590608835220337
0,0,5,3,0.9277714490890503
0,0,5,4,0.40916863083839417
0,0,5,5,0.834869921207428
0,0,5,6,0.9176551699638367
0,0,5,7,0.36735695600509644
0,0,5,8,0.8773625493049622
0,0,5,9,0.847572922706604
0,0,5,10,0.9011461734771729
0,0,5,11,0.8705925941467285
0,0,5,12,0.826202392578125
0,0,5,13,0.6246926784515381
0,0,6,0,0.44796526432037354
0,0,6,1,0.769698977470398
0,0,6,2,0.4861464202404022
0,0,6,3,0.7669991850852966
0,0,6,4,0.8179378509521484
0,0,6,5,0.8473349213600159
0,0,6,6,0.32349371910095215
0,0,6,7,0.5405214428901672
0,0,6,8,0.8935113549232483
0,0,6,9,0.8791585564613342
0,0,6,10,0.3574365973472595
0,0,6,11,0.8769609332084656
0,0,6,12,0.8421099781990051
0,0,6,13,0.33971062302589417
0,1,0,0,0.44028592109680176
0,1,0,1,0.28236255049705505
0,1,0,2,0.40735918283462524
0,1,0,3,0.3527373969554901
0,1,0,4,0.6075990796089172
0,1,0,5,0.40049439668655396
0,1,0,6,0.44865381717681885
0,1,0,7,0.9514592289924622
0,1,0,8,0.9083662033081055
0,1,0,9,0.91525799036026
0,1,0,10,0.8909046053886414
0,1,0,11,0.739709198474884
0,1,0,12,0.9877070784568787
0,1,0,13,0.37116703391075134
0,1,1,0,0.9484706521034241
0,1,1,1,0.8360762000083923
0,1,1,2,0.9034630060195923
0,1,1,3,0.9139494299888611
0,1,1,4,0.5734139680862427
0,1,1,5,0.8873881101608276
0,1,1,6,0.883165717124939
0,1,1,7,0.5335994958877563
0,1,1,8,0.8606951832771301
0,1,1,9,0.8696214556694031
0,1,1,10,0.9236650466918945
0,1,1,11,0.572650134563446
0,1,1,12,0.7073835730552673
0,1,1,13,0.9130038022994995
0,1,2,0,0.37996357679367065
0,1,2,1,0.8737055659294128
0,1,2,2,0.8495948314666748
0,1,2,3,0.8816424608230591
0,1,2,4,0.8526378870010376
0,1,2,5,0.3443776071071625
0,1,2,6,0.7604137659072876
0,1,2,7,0.4473685920238495
0,1,2,8,0.604634165763855
0,1,2,9,0.523910403251648
0,1,2,10,0.7499780058860779
0,1,2,11,0.7999425530433655
0,1,2,12,0.8485600352287292
0,1,2,13,0.3233431577682495
0,1,3,0,0.5099344253540039
0,1,3,1,0.8919795155525208
0,1,3,2,0.8808013796806335
0,1,3,3,0.36411067843437195
0,1,3,4,0.8746204376220703
0,1,3,5,0.8435760736465454
0,1,3,6,0.3390991687774658
0,1,3,7,0.43750107288360596
0,1,3,8,0.4019099771976471
0,1,3,9,0.36048996448516846
0,1,3,10,0.35864293575286865
0,1,3,11,0.5528174638748169
0,1,3,12,0.3939649164676666
0,1,3,13,0.44665104150772095
0,1,4,0,0.9638254046440125
0,1,4,1,0.9237205386161804
0,1,4,2,0.9330521821975708
0,1,4,3,0.6870825290679932
0,1,4,4,0.736620306968689
0,1,4,5,0.9762305617332458
0,1,4,6,0.37647220492362976
0,1,4,7,0.9340364933013916
0,1,4,8,0.8250904679298401
0,1,4,9,0.9179461002349854
0,1,4,10,0.9054989814758301
0,1,4,11,0.5663130283355713
0,1,4,12,0.8784955739974976
0,1,4,13,0.8624134659767151
0,1,5,0,0.44392716884613037
0,1,5,1,0.8523812890052795
0,1,5,2,0.8546447157859802
0,1,5,3,0.9326050877571106
0,1,5,4,0.7752575874328613
0,1,5,5,0.7568697929382324
0,1,5,6,0.899930477142334
0,1,5,7,0.3725467026233673
0,1,5,8,0.8601698279380798
0,1,5,9,0.8433040976524353
0,1,5,10,0.8789280652999878
0,1,5,11,0.8421849012374878
0,1,5,12,0.34457728266716003
0,1,5,13,0.4472097158432007
0,1,6,0,0.43289515376091003
0,1,6,1,0.6741880178451538
0,1,6,2,0.4833041727542877
0,1,6,3,0.7335484027862549
0,1,6,4,0.6837460398674011
0,1,6,5,0.6156022548675537
0,1,6,6,0.32009586691856384
0,1,6,7,0.4407997131347656
