sample_index,temporal_index,height_index,width_index,importance
3,0,0,0,0.47034502029418945
3,0,0,1,0.9484747648239136
3,0,0,2,0.495770126581192
3,0,0,3,0.3356718122959137
3,0,0,4,0.31419163942337036
3,0,0,5,0.42956554889678955
3,0,0,6,0.2994840741157532
3,0,0,7,0.9077798128128052
3,0,0,8,0.9289639592170715
3,0,0,9,0.392842173576355
3,0,0,10,0.8745274543762207
3,0,0,11,0.5357708930969238
3,0,0,12,0.9238735437393188
3,0,0,13,0.8516797423362732
3,0,1,0,0.8640487194061279
3,0,1,1,0.9260731935501099
3,0,1,2,0.8363842964172363
3,0,1,3,0.8530623912811279
3,0,1,4,0.8939224481582642
3,0,1,5,0.8426335453987122
3,0,1,6,0.6624754667282104
3,0,1,7,0.46650785207748413
3,0,1,8,0.9588627815246582
3,0,1,9,0.8871003985404968
3,0,1,10,0.9565728902816772
3,0,1,11,0.7663164138793945
3,0,1,12,0.9225936532020569
3,0,1,13,0.3609607219696045
3,0,2,0,0.8961635231971741
3,0,2,1,0.8546676635742188
3,0,2,2,0.8508082032203674
3,0,2,3,0.8848548531532288
3,0,2,4,0.8313426971435547
3,0,2,5,0.5659351944923401
3,0,2,6,0.3622073233127594
3,0,2,7,0.809593141078949
3,0,2,8,0.8795292377471924
3,0,2,9,0.8579295873641968
3,0,2,10,0.8706653118133545
3,0,2,11,0.8253153562545776
3,0,2,12,0.8362661004066467
3,0,2,13,0.4134325683116913
3,0,3,0,0.811154305934906
3,0,3,1,0.9064115881919861
3,0,3,2,0.9107409715652466
3,0,3,3,0.8689510822296143
3,0,3,4,0.37527352571487427
3,0,3,5,0.340894877910614
3,0,3,6,0.3888617157936096
3,0,3,7,0.9702199697494507
3,0,3,8,0.3726375997066498
3,0,3,9,0.3260478675365448
3,0,3,10,0.3734799325466156
3,0,3,11,0.46016472578048706
3,0,3,12,0.4199507534503937
3,0,3,13,0.26584282517433167
3,0,4,0,0.9388774037361145
3,0,4,1,0.9204649329185486
3,0,4,2,0.9244188070297241
3,0,4,3,0.8296246528625488
3,0,4,4,0.7068862915039062
3,0,4,5,0.35236307978630066
3,0,4,6,0.36070770025253296
3,0,4,7,0.8649117946624756
3,0,4,8,0.874228298664093
3,0,4,9,0.8697946071624756
3,0,4,10,0.8713297843933105
3,0,4,11,0.9121628999710083
3,0,4,12,0.4114606976509094
3,0,4,13,0.42479413747787476
3,0,5,0,0.4734896421432495
3,0,5,1,0.9448933601379395
3,0,5,2,0.7456564903259277
3,0,5,3,0.8919454216957092
3,0,5,4,0.7768583297729492
3,0,5,5,0.8977832794189453
3,0,5,6,0.426937073469162
3,0,5,7,0.9093720316886902
3,0,5,8,0.8402746915817261
3,0,5,9,0.8371022343635559
3,0,5,10,0.8932918310165405
3,0,5,11,0.8235304951667786
3,0,5,12,0.7730143666267395
3,0,5,13,0.4421602189540863
3,0,6,0,0.7995659708976746
3,0,6,1,0.8917773962020874
3,0,6,2,0.8456645011901855
3,0,6,3,0.8878538012504578
3,0,6,4,0.8204419612884521
3,0,6,5,0.8250480890274048
3,0,6,6,0.3566615879535675
3,0,6,7,0.7555420398712158
3,0,6,8,0.9110882878303528
3,0,6,9,0.9064492583274841
3,0,6,10,0.8316661715507507
3,0,6,11,0.7272677421569824
3,0,6,12,0.3883134126663208
3,0,6,13,0.3978221118450165
3,1,0,0,0.47146517038345337
3,1,0,1,0.6562595963478088
3,1,0,2,0.36052703857421875
3,1,0,3,0.32650506496429443
3,1,0,4,0.3537847101688385
3,1,0,5,0.4043712019920349
3,1,0,6,0.4447598159313202
3,1,0,7,0.9100985527038574
3,1,0,8,0.8566420674324036
3,1,0,9,0.9125003218650818
3,1,0,10,0.8434238433837891
3,1,0,11,0.4193532466888428
3,1,0,12,0.7880550622940063
3,1,0,13,0.35749712586402893
3,1,1,0,0.8550880551338196
3,1,1,1,0.902302086353302
3,1,1,2,0.856930136680603
3,1,1,3,0.7746994495391846
3,1,1,4,0.8580559492111206
3,1,1,5,0.42326819896698
3,1,1,6,0.44665321707725525
3,1,1,7,0.47608688473701477
3,1,1,8,0.9222485423088074
3,1,1,9,0.4855402708053589
3,1,1,10,0.9170562624931335
3,1,1,11,0.5243949294090271
3,1,1,12,0.8183085918426514
3,1,1,13,0.39373940229415894
3,1,2,0,0.761300802230835
3,1,2,1,0.8180505633354187
3,1,2,2,0.8145400285720825
3,1,2,3,0.8700658679008484
3,1,2,4,0.760152280330658
3,1,2,5,0.48911795020103455
3,1,2,6,0.35239377617836
3,1,2,7,0.3513168394565582
3,1,2,8,0.8794901967048645
3,1,2,9,0.5393314361572266
3,1,2,10,0.8515964150428772
3,1,2,11,0.6707379817962646
3,1,2,12,0.7952149510383606
3,1,2,13,0.42123594880104065
3,1,3,0,0.4508700966835022
3,1,3,1,0.9140236377716064
3,1,3,2,0.9231988787651062
3,1,3,3,0.7355556488037109
3,1,3,4,0.36711227893829346
3,1,3,5,0.33634909987449646
3,1,3,6,0.36562007665634155
3,1,3,7,0.4678790271282196
3,1,3,8,0.3108026385307312
3,1,3,9,0.31065934896469116
3,1,3,10,0.31467676162719727
3,1,3,11,0.2739318013191223
3,1,3,12,0.4202255308628082
3,1,3,13,0.304484099149704
3,1,4,0,0.8816116452217102
3,1,4,1,0.31887152791023254
3,1,4,2,0.8604298830032349
3,1,4,3,0.416949987411499
3,1,4,4,0.2981433868408203
3,1,4,5,0.9503284692764282
3,1,4,6,0.8444287180900574
3,1,4,7,0.8425252437591553
3,1,4,8,0.3311185836791992
3,1,4,9,0.7859041094779968
3,1,4,10,0.6463144421577454
3,1,4,11,0.33933407068252563
3,1,4,12,0.8938063383102417
3,1,4,13,0.43592026829719543
3,1,5,0,0.4463796019554138
3,1,5,1,0.34654542803764343
3,1,5,2,0.48184046149253845
3,1,5,3,0.7940423488616943
