sample_name,sample_index,temporal_token_index,mean_attribution
Correct_Parkinson,1,0,0.7313535809516907
Correct_Parkinson,1,1,0.622529923915863
Correct_Parkinson,1,2,0.40672722458839417
Correct_Parkinson,1,3,0.5123263597488403
Correct_Parkinson,1,4,0.46694067120552063
Correct_Parkinson,1,5,0.4518914520740509
Correct_Parkinson,1,6,0.6281273365020752
Correct_Parkinson,1,7,0.7147048711776733
Correct_Control,3,0,0.6207417249679565
Correct_Control,3,1,0.4601285457611084
Correct_Control,3,2,0.5023559331893921
Correct_Control,3,3,0.41139957308769226
Correct_Control,3,4,0.5128134489059448
Correct_Control,3,5,0.49780210852622986
Correct_Control,3,6,0.5462446212768555
Correct_Control,3,7,0.6322691440582275
Misclassified,0,0,0.5696808695793152
Misclassified,0,1,0.5601885318756104
Misclassified,0,2,0.4705391824245453
Misclassified,0,3,0.46919146180152893
Misclassified,0,4,0.5276976823806763
Misclassified,0,5,0.4322951138019562
Misclassified,0,6,0.5584426522254944
Misclassified,0,7,0.620550811290741
